,ActivityDate,TotalSteps,Calories
0,4/12/2016,13162,1985
1,4/13/2016,10735,1797
2,4/14/2016,10460,1776
3,4/15/2016,9762,1745
4,4/16/2016,12669,1863
5,4/17/2016,9705,1728
6,4/18/2016,13019,1921
7,4/19/2016,15506,2035
8,4/20/2016,10544,1786
9,4/21/2016,9819,1775
10,4/22/2016,12764,1827
11,4/23/2016,14371,1949
12,4/24/2016,10039,1788
13,4/25/2016,15355,2013
14,4/26/2016,13755,1970
15,4/27/2016,18134,2159
16,4/28/2016,13154,1898
17,4/29/2016,11181,1837
18,4/30/2016,14673,1947
19,5/1/2016,10602,1820
20,5/2/2016,14727,2004
21,5/3/2016,15103,1990
22,5/4/2016,11100,1819
23,5/5/2016,14070,1959
24,5/6/2016,12159,1896
25,5/7/2016,11992,1821
26,5/8/2016,10060,1740
27,5/9/2016,12022,1819
28,5/10/2016,12207,1859
29,5/11/2016,12770,1783
30,5/12/2016,0,0
31,4/12/2016,8163,1432
32,4/13/2016,7007,1411
33,4/14/2016,9107,1572
34,4/15/2016,1510,1344
35,4/16/2016,5370,1463
36,4/17/2016,6175,1554
37,4/18/2016,10536,1604
38,4/19/2016,2916,1435
39,4/20/2016,4974,1446
40,4/21/2016,6349,1467
41,4/22/2016,4026,1470
42,4/23/2016,8538,1562
43,4/24/2016,6076,1617
44,4/25/2016,6497,1492
45,4/26/2016,2826,1402
46,4/27/2016,8367,1670
47,4/28/2016,2759,1401
48,4/29/2016,2390,1404
49,4/30/2016,6474,1655
50,5/1/2016,36019,2690
51,5/2/2016,7155,1497
52,5/3/2016,2100,1334
53,5/4/2016,2193,1368
54,5/5/2016,2470,1370
55,5/6/2016,1727,1341
56,5/7/2016,2104,1474
57,5/8/2016,3427,1427
58,5/9/2016,1732,1328
59,5/10/2016,2969,1393
60,5/11/2016,3134,1359
61,5/12/2016,2971,1002
62,4/12/2016,10694,3199
63,4/13/2016,8001,2902
64,4/14/2016,11037,3226
65,4/15/2016,5263,2750
66,4/16/2016,15300,3493
67,4/17/2016,8757,3011
68,4/18/2016,7132,2806
69,4/19/2016,11256,3300
70,4/20/2016,2436,2430
71,4/21/2016,1223,2140
72,4/22/2016,3673,2344
73,4/23/2016,6637,2677
74,4/24/2016,3321,2413
75,4/25/2016,3580,2497
76,4/26/2016,9919,3123
77,4/27/2016,3032,2489
78,4/28/2016,9405,3108
79,4/29/2016,3176,2498
80,4/30/2016,18213,3846
81,5/1/2016,6132,2696
82,5/2/2016,3758,2580
83,5/3/2016,12850,3324
84,5/4/2016,2309,2222
85,5/5/2016,4363,2463
86,5/6/2016,9787,3328
87,5/7/2016,13372,3404
88,5/8/2016,6724,2987
89,5/9/2016,6643,3008
90,5/10/2016,9167,2799
91,5/11/2016,1329,1276
92,4/12/2016,6697,2030
93,4/13/2016,4929,1860
94,4/14/2016,7937,2130
95,4/15/2016,3844,1725
96,4/16/2016,3414,1657
