,SleepDay,TotalMinutesAsleep,TotalTimeInBed
0,4/12/2016 12:00:00 AM,327,346
1,4/13/2016 12:00:00 AM,384,407
2,4/15/2016 12:00:00 AM,412,442
3,4/16/2016 12:00:00 AM,340,367
4,4/17/2016 12:00:00 AM,700,712
5,4/19/2016 12:00:00 AM,304,320
6,4/20/2016 12:00:00 AM,360,377
7,4/21/2016 12:00:00 AM,325,364
8,4/23/2016 12:00:00 AM,361,384
9,4/24/2016 12:00:00 AM,430,449
10,4/25/2016 12:00:00 AM,277,323
11,4/26/2016 12:00:00 AM,245,274
12,4/28/2016 12:00:00 AM,366,393
13,4/29/2016 12:00:00 AM,341,354
14,4/30/2016 12:00:00 AM,404,425
15,5/1/2016 12:00:00 AM,369,396
16,5/2/2016 12:00:00 AM,277,309
17,5/3/2016 12:00:00 AM,273,296
18,5/5/2016 12:00:00 AM,247,264
19,5/6/2016 12:00:00 AM,334,367
20,5/7/2016 12:00:00 AM,331,349
21,5/8/2016 12:00:00 AM,594,611
22,5/9/2016 12:00:00 AM,338,342
23,5/10/2016 12:00:00 AM,383,403
24,5/11/2016 12:00:00 AM,285,306
25,4/29/2016 12:00:00 AM,119,127
26,4/30/2016 12:00:00 AM,124,142
27,5/2/2016 12:00:00 AM,796,961
28,5/8/2016 12:00:00 AM,137,154
29,4/15/2016 12:00:00 AM,644,961
30,4/30/2016 12:00:00 AM,722,961
31,5/1/2016 12:00:00 AM,590,961
32,4/12/2016 12:00:00 AM,750,775
33,4/13/2016 12:00:00 AM,398,422
34,4/15/2016 12:00:00 AM,475,499
35,4/26/2016 12:00:00 AM,296,315
36,4/28/2016 12:00:00 AM,166,178
37,4/12/2016 12:00:00 AM,503,546
38,4/13/2016 12:00:00 AM,531,565
39,4/14/2016 12:00:00 AM,545,568
40,4/15/2016 12:00:00 AM,523,573
41,4/16/2016 12:00:00 AM,524,567
42,4/17/2016 12:00:00 AM,437,498
43,4/19/2016 12:00:00 AM,498,540
44,4/20/2016 12:00:00 AM,461,510
45,4/21/2016 12:00:00 AM,477,514
46,4/22/2016 12:00:00 AM,520,545
47,4/23/2016 12:00:00 AM,522,554
48,4/24/2016 12:00:00 AM,555,591
49,4/25/2016 12:00:00 AM,506,531
50,4/27/2016 12:00:00 AM,508,545
51,4/28/2016 12:00:00 AM,513,545
52,4/29/2016 12:00:00 AM,490,510
53,4/30/2016 12:00:00 AM,573,607
54,5/1/2016 12:00:00 AM,527,546
55,5/2/2016 12:00:00 AM,511,543
56,5/4/2016 12:00:00 AM,538,560
57,5/5/2016 12:00:00 AM,468,485
58,5/6/2016 12:00:00 AM,524,548
59,5/7/2016 12:00:00 AM,511,521
60,5/8/2016 12:00:00 AM,541,568
61,5/9/2016 12:00:00 AM,531,556
62,5/10/2016 12:00:00 AM,357,380
63,5/11/2016 12:00:00 AM,523,553
64,5/12/2016 12:00:00 AM,456,485
65,4/23/2016 12:00:00 AM,61,69
66,4/13/2016 12:00:00 AM,467,531
67,4/14/2016 12:00:00 AM,445,489
68,4/15/2016 12:00:00 AM,452,504
69,4/17/2016 12:00:00 AM,556,602
70,4/18/2016 12:00:00 AM,500,557
71,4/19/2016 12:00:00 AM,465,514
72,4/21/2016 12:00:00 AM,460,484
73,4/22/2016 12:00:00 AM,405,461
74,4/23/2016 12:00:00 AM,374,386
75,4/24/2016 12:00:00 AM,442,459
76,4/25/2016 12:00:00 AM,433,471
77,4/26/2016 12:00:00 AM,436,490
78,4/27/2016 12:00:00 AM,448,499
79,4/28/2016 12:00:00 AM,408,450
80,4/29/2016 12:00:00 AM,411,473
81,4/12/2016 12:00:00 AM,274,469
82,4/13/2016 12:00:00 AM,295,456
83,4/14/2016 12:00:00 AM,291,397
84,4/15/2016 12:00:00 AM,424,556
85,4/16/2016 12:00:00 AM,283,510
86,4/17/2016 12:00:00 AM,381,566
87,4/18/2016 12:00:00 AM,412,522
88,4/19/2016 12:00:00 AM,219,395
89,4/20/2016 12:00:00 AM,152,305
90,4/21/2016 12:00:00 AM,332,512
91,4/22/2016 12:00:00 AM,355,476
92,4/23/2016 12:00:00 AM,235,372
93,4/24/2016 12:00:00 AM,310,526
94,4/25/2016 12:00:00 AM,262,467
95,4/26/2016 12:00:00 AM,250,371
96,4/27/2016 12:00:00 AM,349,540
97,4/28/2016 12:00:00 AM,261,423
98,4/29/2016 12:00:00 AM,333,478
99,4/30/2016 12:00:00 AM,237,382
100,5/1/2016 12:00:00 AM,383,626
101,5/2/2016 12:00:00 AM,230,384
102,5/3/2016 12:00:00 AM,292,500
103,5/4/2016 12:00:00 AM,213,336
104,5/5/2016 12:00:00 AM,318,480
105,5/6/2016 12:00:00 AM,323,512
106,5/7/2016 12:00:00 AM,237,443
107,5/8/2016 12:00:00 AM,259,456
108,5/10/2016 12:00:00 AM,312,452
109,4/12/2016 12:00:00 AM,501,541
110,4/16/2016 12:00:00 AM,77,77
