,Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps)
0,2014-12-29 22:57:49,2014-12-30 07:30:13,100%,8:32,:),,59.0,0
1,2014-12-30 21:17:50,2014-12-30 21:33:54,3%,0:16,:|,Stressful day,72.0,0
2,2014-12-30 22:42:49,2014-12-31 07:13:31,98%,8:30,:|,,57.0,0
3,2014-12-31 22:31:01,2015-01-01 06:03:01,65%,7:32,,,60.60493827160494,0
4,2015-01-01 22:12:10,2015-01-02 04:56:35,72%,6:44,:),Drank coffee:Drank tea,68.0,0
5,2015-01-03 00:34:57,2015-01-03 07:47:23,83%,7:12,:),Drank coffee:Drank tea,60.0,0
6,2015-01-04 00:23:06,2015-01-04 07:37:09,78%,7:14,,Drank tea,60.60493827160494,0
7,2015-01-04 21:34:44,2015-01-05 04:53:34,78%,7:18,:),Ate late:Drank coffee,57.0,0
8,2015-01-05 21:32:25,2015-01-06 05:00:03,69%,7:27,:),Drank coffee:Drank tea:Worked out,56.0,0
9,2015-01-06 21:24:56,2015-01-07 05:00:02,74%,7:35,:|,Drank tea:Worked out,64.0,0
10,2015-01-07 20:59:58,2015-01-08 06:19:20,81%,9:19,:),Drank coffee:Drank tea:Stressful day,62.0,0
11,2015-01-08 22:58:18,2015-01-09 06:14:58,88%,7:16,:),Drank coffee:Drank tea,58.0,0
12,2015-01-09 22:27:58,2015-01-10 07:29:00,77%,9:01,:|,Drank coffee:Drank tea,65.0,0
13,2015-01-10 22:38:24,2015-01-11 07:28:59,89%,8:50,:|,Drank coffee:Drank tea,65.0,0
14,2015-01-11 22:12:07,2015-01-12 06:20:29,78%,8:08,:),Drank tea,53.0,0
15,2015-01-12 21:01:46,2015-01-13 06:13:23,100%,9:11,:),Drank tea:Worked out,65.0,0
16,2015-01-13 22:14:29,2015-01-14 06:20:33,100%,8:06,:),Drank coffee:Drank tea,55.0,0
17,2015-01-14 21:48:26,2015-01-15 05:02:05,88%,7:13,:),Drank coffee:Drank tea:Worked out,60.0,0
18,2015-01-15 21:32:07,2015-01-16 04:54:42,87%,7:22,:),Drank tea,60.0,0
19,2015-01-17 02:11:57,2015-01-17 09:03:37,83%,6:51,:),Drank coffee:Drank tea,94.0,0
20,2015-01-17 23:55:16,2015-01-18 07:47:15,93%,7:51,:),Drank coffee:Drank tea,57.0,0
21,2015-01-18 21:51:53,2015-01-19 05:04:18,58%,7:12,:),Drank coffee,67.0,0
22,2015-01-19 05:06:38,2015-01-19 06:20:29,16%,1:13,:),,58.0,0
23,2015-01-19 21:45:19,2015-01-20 05:45:37,75%,8:00,:|,Drank coffee:Drank tea:Worked out,54.0,0
24,2015-01-20 21:42:37,2015-01-21 05:45:22,80%,8:02,:|,Drank coffee:Drank tea:Worked out,60.0,0
25,2015-01-21 22:34:35,2015-01-22 06:17:22,87%,7:42,:),Drank coffee:Drank tea:Worked out,75.0,0
26,2015-01-25 20:55:02,2015-01-26 06:14:59,87%,9:19,:),Drank coffee,58.0,0
27,2015-01-26 22:36:21,2015-01-27 06:11:49,83%,7:35,:|,Drank coffee:Drank tea:Stressful day,66.0,0
28,2015-01-28 21:43:16,2015-01-29 05:20:42,76%,7:37,:),Drank coffee:Drank tea:Stressful day,57.0,0
29,2015-01-29 22:23:40,2015-01-30 05:29:11,67%,7:05,:),Drank coffee:Drank tea:Worked out,63.0,0
30,2015-01-31 00:13:46,2015-01-31 08:17:30,93%,8:03,:),Drank coffee:Drank tea:Stressful day,62.0,0
31,2015-02-01 21:55:59,2015-02-02 05:09:06,64%,7:13,:),Drank coffee:Drank tea,56.0,0
32,2015-02-02 22:30:35,2015-02-03 06:20:29,75%,7:49,:),Drank tea,61.0,0
33,2015-02-03 22:47:33,2015-02-04 06:20:21,72%,7:32,:),Drank coffee:Drank tea,61.0,0
34,2015-02-04 23:03:06,2015-02-05 06:10:44,70%,7:07,:),Drank tea:Worked out,57.0,0
35,2015-02-08 22:30:34,2015-02-09 06:48:30,89%,8:17,:),Drank coffee:Drank tea,61.0,0
36,2015-02-09 21:55:43,2015-02-10 06:13:22,85%,8:17,:),Drank coffee,58.0,0
37,2015-02-10 22:20:46,2015-02-11 06:20:51,59%,8:00,:),Drank coffee,60.0,0
38,2015-02-11 21:53:45,2015-02-12 05:30:25,67%,7:36,:),Drank coffee:Drank tea:Worked out,57.0,0
39,2015-02-12 22:34:54,2015-02-13 05:24:22,69%,6:49,:),Drank coffee:Drank tea:Worked out,53.0,0
40,2015-02-15 22:16:27,2015-02-16 05:20:44,74%,7:04,:),Drank coffee,60.0,0
41,2015-02-17 00:02:30,2015-02-17 06:16:11,78%,6:13,:),Drank coffee:Drank tea:Worked out,65.0,0
42,2015-02-17 22:20:00,2015-02-18 05:05:23,70%,6:45,:),Drank coffee:Drank tea,55.0,0
43,2015-02-19 22:39:45,2015-02-20 06:20:14,77%,7:40,:),Drank coffee:Drank tea:Stressful day,66.0,0
44,2015-02-21 00:31:24,2015-02-21 07:32:22,72%,7:00,:),Drank coffee:Drank tea:Worked out,55.0,0
45,2015-02-21 22:54:00,2015-02-22 07:49:15,92%,8:55,:),Drank coffee:Drank tea,56.0,0
46,2015-02-22 22:18:00,2015-02-23 06:20:17,87%,8:02,:),Drank coffee,60.0,0
47,2015-02-24 22:30:11,2015-02-25 06:20:07,69%,7:49,:),Drank coffee:Drank tea,62.0,0
48,2015-02-26 01:22:32,2015-02-26 07:16:32,65%,5:54,:|,Drank coffee:Drank tea,60.60493827160494,0
49,2015-02-26 21:42:32,2015-02-27 05:37:28,90%,7:54,:),Drank tea:Worked out,61.0,0
50,2015-03-01 20:14:26,2015-03-02 05:44:08,88%,9:29,:),Drank coffee,62.0,0
51,2015-03-03 21:47:16,2015-03-04 05:30:18,61%,7:43,:),Drank coffee:Drank tea:Worked out,62.0,0
52,2015-03-04 20:53:47,2015-03-05 06:13:31,54%,9:19,:),Drank coffee:Drank tea:Stressful day:Worked out,68.0,0
53,2015-03-05 22:29:33,2015-03-06 06:20:18,86%,7:50,:),Drank coffee:Drank tea,58.0,0
54,2015-03-08 22:54:58,2015-03-09 06:20:12,69%,7:25,:),Drank coffee,61.0,0
55,2015-03-09 21:28:08,2015-03-10 06:18:59,99%,8:50,:),Drank coffee:Drank tea,67.0,0
56,2015-03-10 22:17:17,2015-03-11 06:18:56,82%,8:01,:),Drank coffee:Drank tea,71.0,0
57,2015-03-11 21:39:44,2015-03-12 05:19:55,77%,7:40,:),Drank coffee:Drank tea,63.0,0
58,2015-03-12 21:44:36,2015-03-13 05:20:52,72%,7:36,:),Drank coffee:Drank tea:Worked out,60.0,0
59,2015-03-15 21:50:56,2015-03-16 04:51:22,82%,7:00,:),,62.0,0
60,2015-03-16 21:48:42,2015-03-17 05:21:34,75%,7:32,:),Drank coffee:Drank tea,54.0,0
61,2015-03-17 23:57:46,2015-03-18 08:01:27,91%,8:03,:),Drank coffee:Drank tea:Worked out,62.0,0
62,2015-03-21 01:10:15,2015-03-21 08:00:08,74%,6:49,:),Drank coffee,66.0,0
63,2015-03-22 23:07:46,2015-03-23 07:30:02,75%,8:22,:),Drank coffee:Drank tea,65.0,0
64,2015-03-24 22:11:07,2015-03-25 06:19:05,84%,8:07,:),Drank coffee,58.0,0
65,2015-03-25 22:00:06,2015-03-26 05:22:21,76%,7:22,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
66,2015-03-26 21:23:43,2015-03-27 05:26:51,92%,8:03,:),Drank tea:Worked out,54.0,0
67,2015-03-30 22:30:48,2015-03-31 05:28:23,82%,6:57,:),Drank coffee:Worked out,64.0,0
68,2015-03-31 22:17:15,2015-04-01 05:50:10,84%,7:32,:),Drank coffee:Drank tea:Worked out,55.0,0
69,2015-04-04 23:13:30,2015-04-05 07:31:06,95%,8:17,:),Drank coffee:Drank tea,60.60493827160494,0
70,2015-04-06 21:22:37,2015-04-07 06:15:41,79%,8:53,:),Drank coffee:Drank tea,55.0,0
71,2015-04-07 21:17:36,2015-04-08 06:18:55,100%,9:01,:),Drank tea,51.0,0
72,2015-04-08 22:09:38,2015-04-09 05:02:01,81%,6:52,:),Drank tea,52.0,0
73,2015-04-09 21:56:08,2015-04-10 05:23:08,80%,7:27,:),Drank coffee:Drank tea:Worked out,60.60493827160494,0
74,2015-04-10 23:51:30,2015-04-11 07:41:42,85%,7:50,:),Drank tea:Worked out,60.60493827160494,0
75,2015-04-11 23:16:56,2015-04-12 06:53:03,97%,7:36,:),Drank coffee:Drank tea,52.0,0
76,2015-04-12 22:04:59,2015-04-13 05:41:13,84%,7:36,:),Drank coffee:Drank tea,58.0,0
77,2015-04-13 22:19:39,2015-04-14 05:45:04,78%,7:25,:),Drank tea:Worked out,57.0,0
78,2015-04-15 00:28:55,2015-04-15 07:30:14,81%,7:01,:),Drank coffee:Drank tea:Worked out,63.0,0
79,2015-04-16 23:20:50,2015-04-17 06:20:07,82%,6:59,:),Drank coffee:Drank tea,58.0,0
80,2015-04-17 23:50:04,2015-04-18 07:22:19,59%,7:32,:),Drank coffee:Drank tea:Stressful day:Worked out,53.0,0
81,2015-04-20 22:37:59,2015-04-21 06:18:56,77%,7:40,:),Drank coffee:Drank tea,58.0,0
82,2015-04-22 21:31:35,2015-04-23 05:11:23,77%,7:39,:),Drank coffee:Drank tea:Stressful day,67.0,0
83,2015-04-23 21:46:46,2015-04-24 05:13:42,87%,7:26,:),Drank coffee:Drank tea:Stressful day:Worked out,60.60493827160494,0
84,2015-04-25 22:53:27,2015-04-26 07:53:35,100%,9:00,:),Drank coffee:Drank tea,61.0,0
